time,x_pix,y_pix
0.000000,50.0062,250.0000
0.033708,58.9454,250.0000
0.067416,64.9530,250.0000
0.101124,72.1630,250.0000
0.134831,86.0551,250.0000
0.168539,96.5031,250.0000
0.202247,116.3151,250.0000
0.235955,138.6888,250.0000
0.269663,146.9204,250.0000
0.303371,165.0929,250.0000
0.337079,190.8787,250.0000
0.370787,211.8684,250.0000
0.404494,233.6858,250.0000
0.438202,253.0014,250.0000
0.471910,283.4227,250.0000
0.505618,314.3811,250.0000
0.539326,332.9393,250.0000
0.573034,367.5484,250.0000
0.606742,391.9268,250.0000
0.640449,428.0019,250.0000
0.674157,459.6778,250.0000
0.707865,503.5683,250.0000
0.741573,535.6840,250.0000
0.775281,582.0753,250.0000
0.808989,621.6208,250.0000
0.842697,661.4407,250.0000
0.876404,692.7501,250.0000
0.910112,747.0193,250.0000
0.943820,795.2694,250.0000
0.977528,843.2979,250.0000
1.011236,883.7204,250.0000
1.044944,939.0422,250.0000
1.078652,988.0187,250.0000
1.112360,1041.7676,250.0000
1.146067,1105.4371,250.0000
1.179775,1151.8360,250.0000
1.213483,1212.8724,250.0000
1.247191,1276.0385,250.0000
1.280899,1328.7005,250.0000
1.314607,1392.4821,250.0000
1.348315,1456.4354,250.0000
1.382022,1520.4647,250.0000
1.415730,1579.7035,250.0000
1.449438,1653.3128,250.0000
1.483146,1728.2497,250.0000
1.516854,1783.6637,250.0000
1.550562,1867.0605,250.0000
1.584270,1936.1447,250.0000
1.617978,2006.5452,250.0000
1.651685,2095.3796,250.0000
1.685393,2166.2340,250.0000
1.719101,2234.8917,250.0000
1.752809,2321.1465,250.0000
1.786517,2404.9634,250.0000
1.820225,2483.8623,250.0000
1.853933,2572.3673,250.0000
1.887640,2654.1870,250.0000
1.921348,2744.8430,250.0000
1.955056,2837.1068,250.0000
1.988764,2916.3635,250.0000
2.022472,3012.0055,250.0000
2.056180,3101.3415,250.0000
2.089888,3198.3828,250.0000
2.123596,3287.3193,250.0000
2.157303,3387.2878,250.0000
2.191011,3487.5527,250.0000
2.224719,3592.7971,250.0000
2.258427,3695.2192,250.0000
2.292135,3785.4856,250.0000
2.325843,3892.1605,250.0000
2.359551,4004.8189,250.0000
2.393258,4098.4933,250.0000
2.426966,4214.4308,250.0000
2.460674,4325.9717,250.0000
2.494382,4443.8750,250.0000
2.528090,4553.5890,250.0000
2.561798,4662.4783,250.0000
2.595506,4777.6641,250.0000
2.629213,4895.0689,250.0000
2.662921,5022.1707,250.0000
2.696629,5132.0664,250.0000
2.730337,5253.7619,250.0000
2.764045,5379.5372,250.0000
2.797753,5501.0847,250.0000
2.831461,5626.0367,250.0000
2.865169,5748.2076,250.0000
2.898876,5881.8954,250.0000
2.932584,6009.3305,250.0000
2.966292,6148.3947,250.0000
3.000000,6278.2654,250.0000
